REGISTRATION_NO,STUDENT_NAME,DOB,DEPARTMENT,YEAR_OF_JOINING,YEAR_OF_PASSING,PARENTS_NAME,CONTACT_NUMBER,EMAIL_ID,ADDRESS_1,ADDRESS_2,CITY,STATE,COUNTRY,PINCODE,10th_ACTUAL_MARK,10th_TOTAL_MARK,12th_ACTUAL_MARK,12th_TOTAL_MARK
2123,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
345242,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
456453,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
4534535,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
333453,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
465767,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
567536,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
67867687,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
4644535,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
786657,Testing,7/9/1991,IT,2008,2012,Testing,234983742,abc@gmail.com,West Mamabalam,PCE,Chennai,TN,India,600033,892,1100,890,1200
